timestamp,symbol,source,sentiment_label,sentiment_score
2026-05-03T15:08:56Z,NFP,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,NFP,funding,Tiêu cực,5.1200
2026-05-03T15:08:56Z,SPK,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,SPK,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,SPK,funding,Tiêu cực,4.6900
2026-05-03T15:08:56Z,BB,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,BB,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,BB,funding,Tiêu cực,5.1200
2026-05-03T15:08:56Z,SAHARA,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,SAHARA,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,SAHARA,funding,Tiêu cực,5.1200
2026-05-03T15:08:56Z,MOVR,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,MOVR,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,MOVR,funding,Tiêu cực,5.0500
2026-05-03T15:08:56Z,TUT,news,Bình thường,5.0000
2026-05-03T15:08:56Z,TUT,macro,Bình thường,6.4900
2026-05-03T15:08:56Z,TUT,social,Bình thường,3.0000
2026-05-03T15:08:56Z,TRB,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,TUT,funding,Bình thường,5.1200
2026-05-03T15:08:56Z,TRB,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,TRB,funding,Tiêu cực,4.8800
2026-05-03T15:08:56Z,LRC,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,LRC,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,LRC,funding,Tiêu cực,5.0000
2026-05-03T15:08:56Z,NIL,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,NIL,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,NIL,funding,Tiêu cực,5.1200
2026-05-03T15:08:56Z,AT,news,Tích cực,6.8732
2026-05-03T15:08:56Z,AT,macro,Tích cực,6.4900
2026-05-03T15:08:56Z,AT,social,Tích cực,3.0000
2026-05-03T15:08:56Z,AT,funding,Tích cực,5.1200
2026-05-03T15:08:56Z,FIL,news,Tích cực,7.0350
2026-05-03T15:08:56Z,FIL,macro,Tích cực,6.4900
2026-05-03T15:08:56Z,FIL,social,Tích cực,3.0000
2026-05-03T15:08:56Z,HBAR,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,FIL,funding,Tích cực,5.2500
2026-05-03T15:08:56Z,HBAR,social,Tiêu cực,3.0000
2026-05-03T15:08:56Z,MITO,macro,Tiêu cực,6.4900
2026-05-03T15:08:56Z,HBAR,funding,Tiêu cực,5.1500
2026-05-03T15:08:56Z,MITO,social,Tiêu cực,3.0000
